Marital status;Application mode;Application order;Course;Daytime/evening attendance	;Previous qualification;Previous qualification (grade);Nacionality;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation;Admission grade;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International;Curricular units 1st sem (credited);Curricular units 1st sem (enrolled);Curricular units 1st sem (evaluations);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP;Target
4;7;1;9147;1;3;0.13;1;19;1;5;5;0.13;0;0;0;1;0;0;0.35;0;0.0;0.05;0.05;0.0;0.0;0.0;0.0;0.05;0.05;0.0;0.0;0.0;0.111;0.06;0.202;0
1;39;1;9085;1;1;0.13;1;37;37;6;6;0.11;0;0;0;1;0;1;0.25;0;0.0;0.06;0.13;0.03;0.11666666666666665;0.0;0.0;0.06;0.14;0.02;0.11333333333333334;0.0;0.111;0.06;0.202;1
1;1;6;9070;1;6;0.119;1;1;1;9;9;0.1232;1;0;0;1;1;0;0.22;0;0.0;0.06;0.06;0.06;0.14166666666666666;0.0;0.0;0.06;0.08;0.06;0.13625;0.0;0.10800000000000001;0.13999999999999999;0.174;2
2;39;1;9238;1;19;0.1331;1;37;37;9;4;0.1035;0;0;0;1;1;0;0.42;0;0.0;0.06;0.0;0.0;0.0;0.0;0.0;0.06;0.0;0.0;0.0;0.0;0.155;0.27999999999999997;-0.40599999999999997;0
1;1;3;9500;1;1;0.142;1;37;38;9;9;0.1373;1;0;0;1;0;1;0.22;0;0.0;0.07;0.07;0.06;0.139;0.0;0.0;0.07;0.07;0.06;0.139;0.0;0.076;0.26;0.032;2
1;44;1;9085;1;39;0.14;1;1;19;4;4;0.14;0;0;0;1;0;0;0.21;0;0.02;0.06;0.09;0.06;0.13142857142857142;0.0;0.0;0.06;0.09;0.06;0.12166666666666666;0.0;0.139;-0.03;0.079;2
1;17;2;9238;1;1;0.115;1;19;38;7;8;0.1164;1;0;0;1;0;0;0.21;0;0.0;0.06;0.09;0.06;0.11375;0.0;0.0;0.06;0.09;0.06;0.13285714285714287;0.0;0.162;0.03;-0.092;2
1;17;1;9119;1;1;0.131;1;1;3;9;10;0.1237;1;0;0;1;1;0;0.2;0;0.0;0.05;0.07;0.04;0.12;0.0;0.0;0.05;0.08;0.02;0.125;0.0;0.10800000000000001;0.13999999999999999;0.174;1
1;7;1;8014;0;3;0.14;1;37;12;9;4;0.14;0;0;0;0;0;0;0.26;0;0.0;0.05;0.09;0.0;0.0;0.0;0.0;0.05;0.1;0.0;0.0;0.0;0.094;-0.08;-0.312;0
1;1;1;9147;1;1;0.16;1;1;38;4;7;0.1415;1;0;0;1;1;0;0.18;0;0.0;0.05;0.1;0.03;0.10666666666666666;0.01;0.0;0.05;0.11;0.02;0.125;0.0;0.094;-0.08;-0.312;0
