Marital status;Application mode;Application order;Course;Daytime/evening attendance	;Previous qualification;Previous qualification (grade);Nacionality;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation;Admission grade;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International;Curricular units 1st sem (credited);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP;Target;total_units_enrolled;total_units_approved;total_evaluations;approval_ratio;avg_grade_per_eval
4;7;1;9147;1;3;0.13;1;19;1;5;5;0.13;0;0;0;1;0;0;0.35;0;0.0;0.0;0.0;0.0;0.111;0.06;0.202;0;0.1;0.0;0.1;0.0;0.0
1;39;1;9085;1;1;0.13;1;37;37;6;6;0.11;0;0;0;1;0;1;0.25;0;0.0;0.0;0.0;0.0;0.111;0.06;0.202;1;0.12;0.05;0.27;0.4166666666666667;0.08518518518518518
1;1;6;9070;1;6;0.119;1;1;1;9;9;0.1232;1;0;0;1;1;0;0.22;0;0.0;0.0;0.0;0.0;0.10800000000000001;0.13999999999999999;0.174;2;0.12;0.12;0.14;1.0;0.19851190476190475
2;39;1;9238;1;19;0.1331;1;37;37;9;4;0.1035;0;0;0;1;1;0;0.42;0;0.0;0.0;0.0;0.0;0.155;0.27999999999999997;-0.40599999999999997;0;0.12;0.0;0.0;0.0;0.0
1;1;3;9500;1;1;0.142;1;37;38;9;9;0.1373;1;0;0;1;0;1;0.22;0;0.0;0.0;0.0;0.0;0.076;0.26;0.032;2;0.14;0.12;0.14;0.8571428571428571;0.19857142857142857
1;44;1;9085;1;39;0.14;1;1;19;4;4;0.14;0;0;0;1;0;0;0.21;0;0.02;0.0;0.0;0.0;0.139;-0.03;0.079;2;0.12;0.12;0.18;1.0;0.1406084656084656
1;17;2;9238;1;1;0.115;1;19;38;7;8;0.1164;1;0;0;1;0;0;0.21;0;0.0;0.0;0.0;0.0;0.162;0.03;-0.092;2;0.12;0.12;0.18;1.0;0.13700396825396827
1;17;1;9119;1;1;0.131;1;1;3;9;10;0.1237;1;0;0;1;1;0;0.2;0;0.0;0.0;0.0;0.0;0.10800000000000001;0.13999999999999999;0.174;1;0.1;0.06;0.15;0.6;0.16333333333333333
1;7;1;8014;0;3;0.14;1;37;12;9;4;0.14;0;0;0;0;0;0;0.26;0;0.0;0.0;0.0;0.0;0.094;-0.08;-0.312;0;0.1;0.0;0.19;0.0;0.0
1;1;1;9147;1;1;0.16;1;1;38;4;7;0.1415;1;0;0;1;1;0;0.18;0;0.0;0.01;0.0;0.0;0.094;-0.08;-0.312;0;0.1;0.05;0.21;0.5;0.1103174603174603
1;43;1;9773;1;1;0.122;1;1;1;4;5;0.1269;0;0;0;1;0;0;0.21;0;0.0;0.0;0.0;0.0;0.076;0.26;0.032;2;0.12;0.12;0.15;1.0;0.15809523809523812
1;18;1;9500;1;1;0.126;1;38;37;5;5;0.1148;1;0;0;1;0;0;0.2;0;0.0;0.0;0.0;0.0;0.10800000000000001;0.13999999999999999;0.174;2;0.16;0.14;0.16;0.875;0.18003571428571427
1;39;1;9238;1;1;0.16;1;38;1;9;3;0.124;0;0;1;1;1;0;0.28;0;0.02;0.0;0.0;0.0;0.10800000000000001;0.13999999999999999;0.174;1;0.14;0.08;0.32;0.5714285714285714;0.065625
1;43;2;9500;1;1;0.136;1;19;1;9;10;0.12409999999999999;0;0;0;1;1;1;0.21;0;0.0;0.08;0.0;0.08;0.094;-0.08;-0.312;1;0.16;0.0;0.16;0.0;0.0
1;53;1;9085;1;42;0.15;1;1;1;9;4;0.15;1;0;0;1;1;1;0.22;0;0.01;0.0;0.04;0.0;0.08900000000000001;0.13999999999999999;0.351;0;0.15;0.1;0.25;0.6666666666666666;0.10786666666666667
1;17;1;9130;1;1;0.138;1;2;19;2;6;0.1263;1;0;0;1;0;1;0.18;0;0.0;0.01;0.0;0.0;0.08900000000000001;0.13999999999999999;0.351;1;0.12;0.12;0.15;1.0;0.17222222222222222
1;18;3;9070;1;1;0.131;1;1;37;5;5;0.12229999999999999;1;0;0;0;0;0;0.19;0;0.0;0.0;0.0;0.0;0.155;0.27999999999999997;-0.40599999999999997;0;0.12;0.06;0.12;0.5;0.10138888888888889
2;39;1;9003;1;1;0.13;1;1;37;9;1;0.122;0;0;1;0;1;0;0.25;0;0.03;0.0;0.02;0.01;0.155;0.27999999999999997;-0.40599999999999997;0;0.17;0.1;0.38;0.5882352941176471;0.06165413533834587
4;43;1;9500;1;19;0.1;1;34;34;0;0;0.11;0;0;0;1;1;0;0.3;0;0.11;0.01;0.11;0.01;0.076;0.26;0.032;2;0.28;0.24;0.52;0.8571428571428571;0.04817725752508361
1;16;3;9773;1;1;0.138;1;37;38;4;9;0.13419999999999999;1;0;0;1;0;1;0.2;0;0.0;0.0;0.0;0.0;0.111;0.06;0.202;2;0.12;0.12;0.12;1.0;0.23333333333333334
1;42;1;9500;1;1;0.1;1;37;37;7;9;0.1;1;0;0;1;0;1;0.19;0;0.0;0.0;0.0;0.0;0.10800000000000001;0.13999999999999999;0.174;2;0.16;0.14;0.16;0.875;0.16323214285714285
1;1;6;9500;1;1;0.122;1;19;37;3;5;0.1166;1;0;1;1;1;1;0.2;0;0.0;0.0;0.0;0.0;0.124;0.05;0.179;2;0.15;0.15;0.15;1.0;0.1725952380952381
1;17;2;9070;1;1;0.142;1;3;1;2;4;0.141;1;0;0;1;1;0;0.18;0;0.0;0.0;0.0;0.0;0.10800000000000001;0.13999999999999999;0.174;1;0.12;0.07;0.14;0.5833333333333334;0.16428571428571428
1;1;4;9238;1;1;0.125;1;19;38;9;6;0.1149;1;0;1;1;0;1;0.19;0;0.0;0.0;0.0;0.0;0.08900000000000001;0.13999999999999999;0.351;1;0.12;0.08;0.18;0.6666666666666666;0.11888888888888889
1;1;1;171;1;1;0.141;1;3;1;4;4;0.1428;1;0;0;1;0;0;0.18;0;0.0;0.0;0.0;0.0;0.124;0.05;0.179;2;0.0;0.0;0.0;0.0;0.0
1;43;1;9119;1;1;0.13;1;1;1;9;2;0.128;0;0;1;0;1;0;0.27;0;0.0;0.0;0.0;0.0;0.139;-0.03;0.079;1;0.1;0.0;0.12;0.0;0.0
1;17;1;9670;1;1;0.118;1;1;19;4;8;0.1187;0;0;0;1;1;1;0.19;0;0.0;0.0;0.0;0.0;0.124;0.05;0.179;2;0.12;0.12;0.13;1.0;0.2
1;43;1;9070;1;1;0.117;1;1;1;4;7;0.1125;1;0;0;1;1;0;0.19;0;0.03;0.0;0.01;0.0;0.139;-0.03;0.079;1;0.12;0.07;0.2;0.5833333333333334;0.11000000000000001
1;17;2;9500;1;1;0.134;1;19;37;4;7;0.1335;1;0;0;1;0;0;0.19;0;0.0;0.0;0.0;0.0;0.139;-0.03;0.079;2;0.15;0.15;0.16;1.0;0.1821875
1;44;1;9003;1;39;0.16;1;1;38;4;4;0.16;1;0;0;1;1;1;0.2;0;0.0;0.0;0.0;0.0;0.139;-0.03;0.079;2;0.12;0.11;0.18;0.9166666666666666;0.14469135802469135
1;39;1;171;1;1;0.145;1;3;1;2;10;0.1145;1;0;0;1;1;0;0.24;0;0.0;0.0;0.0;0.0;0.094;-0.08;-0.312;2;0.0;0.0;0.0;0.0;0.0
1;18;1;9500;1;1;0.124;1;38;37;9;7;0.1193;1;0;0;1;0;0;0.19;0;0.0;0.0;0.0;0.0;0.094;-0.08;-0.312;2;0.16;0.16;0.16;1.0;0.163953125
1;1;1;171;1;1;0.137;1;3;19;2;9;0.12229999999999999;0;0;0;1;0;0;0.19;0;0.0;0.0;0.0;0.0;0.10800000000000001;0.13999999999999999;0.174;0;0.0;0.0;0.0;0.0;0.0
1;43;1;8014;0;1;0.1457;22;37;37;9;9;0.1457;1;0;0;1;0;0;0.25;1;0.08;0.0;0.11;0.0;0.139;-0.03;0.079;2;0.29;0.26;0.29;0.896551724137931;0.08829676071055381
1;17;2;9500;1;1;0.125;1;19;19;5;5;0.1145;1;0;0;1;0;0;0.18;0;0.0;0.0;0.0;0.0;0.162;0.03;-0.092;2;0.15;0.14;0.23;0.9333333333333333;0.1054981884057971
1;39;1;9991;0;1;0.1331;1;37;37;9;9;0.1097;0;0;0;1;0;0;0.29;0;0.0;0.0;0.0;0.0;0.162;0.03;-0.092;0;0.1;0.0;0.0;0.0;0.0
1;39;1;9500;1;1;0.14;1;3;3;1;1;0.14;1;0;0;1;0;0;0.24;0;0.0;0.0;0.0;0.0;0.094;-0.08;-0.312;2;0.16;0.16;0.16;1.0;0.1673125
1;1;2;9500;1;1;0.123;1;19;19;7;7;0.12079999999999999;1;0;0;1;0;0;0.19;0;0.0;0.0;0.0;0.0;0.10800000000000001;0.13999999999999999;0.174;2;0.16;0.14;0.22;0.875;0.11405194805194804
1;17;3;9147;1;1;0.142;1;37;38;5;1;0.12940000000000002;0;0;0;1;0;0;0.18;0;0.0;0.0;0.0;0.0;0.094;-0.08;-0.312;2;0.1;0.09;0.11;0.9;0.23363636363636364
1;17;6;9147;1;1;0.129;1;19;1;9;4;0.122;1;0;0;1;1;0;0.19;0;0.0;0.01;0.0;0.0;0.094;-0.08;-0.312;2;0.1;0.09;0.18;0.9;0.12416666666666668
4;39;1;8014;0;1;0.16;1;37;37;3;4;0.097;0;0;0;1;0;1;0.35;0;0.0;0.0;0.0;0.0;0.155;0.27999999999999997;-0.40599999999999997;2;0.12;0.12;0.15;1.0;0.15111111111111114
